.......Configuration......: 
Algorithm: SVM
Use ngram: false
Negation preprocess: false
Context tag: false
POS tag: false
Replace question mark: false
Replace question mark: false
Stemming:false
Lemmatization:true
Only V, Adv, Adj:false
Mark sentiment words:0
Min term frequency:3
Max features:2500


------Results-------
Accuracy, Kappa, Precision(pos), Recall(pos), Fmeasure(pos), Precision(neu), Recall(neu), Fmeasure(neu), Precision(neg), Recall(neg), Fmeasure(neg)
77.2681, 0.6527244, 0.85097545,0.8040806,0.82685477,0.73505425,0.83776635,0.7830206,0.75680053,0.6598412,0.70492625
76.345, 0.6407409, 0.85095805,0.7978167,0.8228753,0.72437,0.8245047,0.77117723,0.7360276,0.6540296,0.6921399
76.2308, 0.63767004, 0.8661815,0.7830006,0.8224356,0.707444,0.8217753,0.76020944,0.7435709,0.66233027,0.70010746
75.42498, 0.62618744, 0.8877056,0.7878746,0.8347482,0.6939274,0.81987184,0.7514257,0.716595,0.6371814,0.67437416
74.68694, 0.6123739, 0.8582934,0.80934954,0.83297515,0.69920987,0.806288,0.74883646,0.71294785,0.6068674,0.65540165
75.5045, 0.62543297, 0.85222465,0.8049741,0.8277233,0.71640867,0.8038998,0.7575538,0.7162614,0.63695246,0.674206
75.53095, 0.62599784, 0.84986365,0.7845618,0.8157082,0.7217118,0.804711,0.7608075,0.7124201,0.6565174,0.683213
74.89744, 0.61650103, 0.8378768,0.78933716,0.81265706,0.7026331,0.830489,0.76119477,0.73784876,0.60930395,0.66701263
75.44613, 0.62313163, 0.8546755,0.79116136,0.8215406,0.7141949,0.8250469,0.765583,0.7201084,0.61996317,0.6660636
76.15722, 0.63692325, 0.8761765,0.7659828,0.8169754,0.7102447,0.83262587,0.76645434,0.73217344,0.6651659,0.696829
