.......Configuration......: 
Algorithm: RF
Use ngram: false
Negation preprocess: true
Context tag: false
POS tag: false
Replace question mark: false
Replace question mark: true
Stemming:false
Lemmatization:true
Only V, Adv, Adj:false
Mark sentiment words:2
Min term frequency:3
Max features:2500


------Results-------
Accuracy, Kappa, Precision(pos), Recall(pos), Fmeasure(pos), Precision(neu), Recall(neu), Fmeasure(neu), Precision(neg), Recall(neg), Fmeasure(neg)
81.794586, 0.7243221, 0.8875832,0.84716076,0.86684245,0.83169246,0.8082615,0.81972045,0.7450151,0.8027124,0.772752
82.52272, 0.7361203, 0.9073016,0.8812526,0.8938985,0.81104714,0.8165572,0.81373954,0.7656448,0.7809993,0.7731569
82.50341, 0.73521763, 0.9188367,0.8583933,0.8874027,0.80361086,0.8277123,0.8152169,0.7634388,0.7871438,0.7748227
81.46667, 0.7201985, 0.9151154,0.849781,0.88120854,0.7998121,0.79987866,0.79977596,0.7424183,0.79600537,0.76816416
81.39752, 0.7178311, 0.8951177,0.86092216,0.8773363,0.803645,0.80495065,0.80425763,0.75372064,0.7805055,0.7667886
81.27183, 0.7165453, 0.9180947,0.8564007,0.8860617,0.8158673,0.7886683,0.80189985,0.71970916,0.8005167,0.7578602
80.9151, 0.7111507, 0.8926087,0.8480705,0.8697471,0.8143734,0.7891337,0.80145156,0.72685134,0.79639715,0.759903
82.519264, 0.73533934, 0.8839052,0.862451,0.8727197,0.8246878,0.8196474,0.8221378,0.7749723,0.7973262,0.7856993
81.41583, 0.7182248, 0.9049775,0.8365879,0.8693425,0.81894577,0.80043477,0.80945826,0.7315057,0.81142616,0.76929796
81.75135, 0.72449267, 0.8941625,0.82783884,0.85954624,0.812461,0.80879605,0.8104749,0.7569997,0.8178186,0.78567904
